date,time,close,high,low,open
27-11-2019,11:45:00,12076.1,12085.25,12075.45,12080.85
27-11-2019,11:55:00,12069.5,12077.6,12069.25,12076.3
27-11-2019,12:05:00,12067.25,12070,12060.85,12069.55
27-11-2019,12:15:00,12066.75,12074,12058.35,12067
27-11-2019,12:25:00,12062.45,12067.4,12060.15,12067.15
27-11-2019,12:35:00,12060.7,12066.45,12060.5,12062.6
27-11-2019,12:45:00,12074.5,12082.1,12055.35,12060.6
27-11-2019,12:55:00,12074.95,12076.7,12071.6,12074.7
27-11-2019,13:05:00,12070.5,12075.05,12065.85,12073.9
27-11-2019,13:15:00,12073.25,12075.55,12067.55,12070.65
27-11-2019,13:25:00,12078.75,12081.4,12073.3,12074.65
27-11-2019,13:35:00,12073.85,12081.4,12072.9,12079.2
27-11-2019,13:45:00,12068.8,12075.1,12067.2,12074.8
27-11-2019,13:55:00,12067.45,12071.85,12064.35,12069.5
27-11-2019,14:05:00,12071.55,12077.4,12067.85,12067.95
27-11-2019,14:15:00,12075,12078.7,12069.4,12072.25
27-11-2019,14:25:00,12083.75,12088.85,12075.8,12075.8
27-11-2019,14:35:00,12081.05,12087.4,12078.55,12084.3
27-11-2019,14:45:00,12086.55,12086.55,12078.7,12082.05
27-11-2019,14:55:00,12088.15,12094.3,12083.95,12086.95
27-11-2019,15:05:00,12098.65,12100.25,12088.35,12088.35
27-11-2019,15:15:00,12110.7,12111.55,12098.7,12098.75
27-11-2019,15:25:00,12112.2,12114.1,12108.05,12110.6
28-11-2019,09:15:00,12112.15,12136.5,12110.6,12132.1
28-11-2019,09:25:00,12115,12115.2,12100.4,12112
28-11-2019,09:35:00,12112.1,12115.2,12105.45,12114.95
28-11-2019,09:45:00,12115.9,12117.05,12106.5,12113.1
28-11-2019,09:55:00,12123.35,12123.45,12114.8,12115.65
28-11-2019,10:05:00,12124,12129.2,12119.05,12123.5
28-11-2019,10:15:00,12121.5,12127.15,12119.75,12123.85
28-11-2019,10:25:00,12121.6,12124.4,12118.15,12122.15
28-11-2019,10:35:00,12120.05,12123,12115.9,12120.9
28-11-2019,10:45:00,12116.6,12122.3,12115.95,12120.8
28-11-2019,10:55:00,12115,12117.35,12112.8,12117.2
28-11-2019,11:05:00,12114.95,12116.65,12108.8,12115.45
28-11-2019,11:15:00,12112.1,12116.4,12110.85,12114.45
28-11-2019,11:25:00,12118.85,12123.15,12110.1,12111.1
28-11-2019,11:35:00,12124.85,12126.6,12117.35,12118.95
28-11-2019,11:45:00,12129.1,12135.5,12124.85,12125.4
28-11-2019,11:55:00,12140.45,12140.5,12128.45,12128.85
28-11-2019,12:05:00,12134.4,12144.25,12133.7,12140.5
